municipio_112cv,id_zona_previfoc,icv_cod_ine_mun,icv_nom_mun,icv_nom_mun_cas,icv_nom_mun_val,icv_noms_mun,match_method,match_fields,alias_reason,review_status,review_categories,review_note
Santa Pola,59,03121,Santa Pola,Santa Pola,Santa Pola,Santa Pola,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sax,58,03123,Sax,Sax,Sax,Sax,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sedaví,57,46223,Sedaví,Sedaví,Sedaví,Sedaví,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Segart,56,46224,Segart,Segart,Segart,Segart,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Segorbe,56,12104,Segorbe,Segorbe,Segorbe,Segorbe,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sella,58,03124,Sella,Sella,Sella,Sella,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sellent,56,46225,Sellent,Sellent,Sellent,Sellent,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sempere,58,46226,Sempere,Sempere,Sempere,Sempere,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Senija,58,03125,Senija,Senija,Senija,Senija,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Senyera,58,46227,Senyera,Senyera,Senyera,Senyera,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Serra,56,46228,Serra,Serra,Serra,Serra,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Serratella, la",53,12103,la Serratella,la Serratella,la Serratella,la Serratella,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Sierra Engarcerán,53,12105,Sierra Engarcerán,Sierra Engarcerán,Sierra Engarcerán,Sierra Engarcerán,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Siete Aguas,56,46229,Siete Aguas,Siete Aguas,Siete Aguas,Siete Aguas,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Silla,57,46230,Silla,Silla,Silla,Silla,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Simat de la Valldigna,58,46231,Simat de la Valldigna,Simat de la Valldigna,Simat de la Valldigna,Simat de la Valldigna,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sinarcas,56,46232,Sinarcas,Sinarcas,Sinarcas,Sinarcas,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sollana,57,46233,Sollana,Sollana,Sollana,Sollana,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Soneja,54,12106,Soneja,Soneja,Soneja,Soneja,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sot de Chera,56,46234,Sot de Chera,Sot de Chera,Sot de Chera,Sot de Chera,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sot de Ferrer,54,12107,Sot de Ferrer,Sot de Ferrer,Sot de Ferrer,Sot de Ferrer,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sueca,57,46235,Sueca,Sueca,Sueca,Sueca,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Suera/Sueras,54,12108,Suera,Sueras,Suera,Suera/Sueras,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Sumacàrcer,56,46236,Sumacàrcer,Sumacàrcer,Sumacàrcer,Sumacàrcer,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tales,54,12109,Tales,Tales,Tales,Tales,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tavernes Blanques,57,46237,Tavernes Blanques,Tavernes Blanques,Tavernes Blanques,Tavernes Blanques,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
