municipio_112cv,id_zona_previfoc,icv_cod_ine_mun,icv_nom_mun,icv_nom_mun_cas,icv_nom_mun_val,icv_noms_mun,match_method,match_fields,alias_reason,review_status,review_categories,review_note
Ademuz,56,46001,Ademuz,Ademuz,Ademuz,Ademuz,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,reviewed,required_sample,Muestra mínima contrastada con la fila ICV y el código oficial.
Ador,58,46002,Ador,Ador,Ador,Ador,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Agost,59,03002,Agost,Agost,Agost,Agost,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Agres,58,03003,Agres,Agres,Agres,Agres,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Agullent,58,46004,Agullent,Agullent,Agullent,Agullent,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aielo de Malferit,58,46042,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aielo de Rugat,58,46043,Aielo de Rugat,Aielo de Rugat,Aielo de Rugat,Aielo de Rugat,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aigües,59,03004,Aigües,Aigües,Aigües,Aigües,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alacant/Alicante,59,03014,Alacant,Alicante,Alacant,Alacant/Alicante,exact_variant,noms_mun,,reviewed,required_sample;bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Alaquàs,57,46005,Alaquàs,Alaquàs,Alaquàs,Alaquàs,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albaida,58,46006,Albaida,Albaida,Albaida,Albaida,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albal,57,46007,Albal,Albal,Albal,Albal,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albalat de la Ribera,57,46008,Albalat de la Ribera,Albalat de la Ribera,Albalat de la Ribera,Albalat de la Ribera,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albalat dels Sorells,57,46009,Albalat dels Sorells,Albalat dels Sorells,Albalat dels Sorells,Albalat dels Sorells,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albalat dels Tarongers,56,46010,Albalat dels Tarongers,Albalat dels Tarongers,Albalat dels Tarongers,Albalat dels Tarongers,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albatera,59,03005,Albatera,Albatera,Albatera,Albatera,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alberic,56,46011,Alberic,Alberic,Alberic,Alberic,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albocàsser,53,12003,Albocàsser,Albocàsser,Albocàsser,Albocàsser,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alborache,56,46012,Alborache,Alborache,Alborache,Alborache,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alboraia/Alboraya,57,46013,Alboraia,Alboraya,Alboraia,Alboraia/Alboraya,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Albuixech,57,46014,Albuixech,Albuixech,Albuixech,Albuixech,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alcalalí,58,03006,Alcalalí,Alcalalí,Alcalalí,Alcalalí,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alcalà de Xivert,55,12004,Alcalà de Xivert,Alcalà de Xivert,Alcalà de Xivert,Alcalà de Xivert,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alcoi/Alcoy,58,03009,Alcoi,Alcoy,Alcoi,Alcoi/Alcoy,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Alcoleja,58,03008,Alcoleja,Alcoleja,Alcoleja,Alcoleja,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Alcora, l'",54,12005,l'Alcora,l'Alcora,l'Alcora,l'Alcora,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Alcosser,58,03007,Alcosser,Alcosser,Alcosser,Alcosser,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alcublas,56,46018,Alcublas,Alcublas,Alcublas,Alcublas,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alcudia de Veo,54,12006,Alcudia de Veo,Alcudia de Veo,Alcudia de Veo,Alcudia de Veo,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alcàntera de Xúquer,56,46016,Alcàntera de Xúquer,Alcàntera de Xúquer,Alcàntera de Xúquer,Alcàntera de Xúquer,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alcàsser,57,46015,Alcàsser,Alcàsser,Alcàsser,Alcàsser,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Alcúdia de Crespins, l'",58,46020,l'Alcúdia de Crespins,l'Alcúdia de Crespins,l'Alcúdia de Crespins,l'Alcúdia de Crespins,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Alcúdia, l'",56,46019,l'Alcúdia,l'Alcúdia,l'Alcúdia,l'Alcúdia,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Aldaia,57,46021,Aldaia,Aldaia,Aldaia,Aldaia,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alfafar,57,46022,Alfafar,Alfafar,Alfafar,Alfafar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alfafara,58,03010,Alfafara,Alfafara,Alfafara,Alfafara,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alfara de la Baronia,56,46024,Alfara de la Baronia,Alfara de la Baronia,Alfara de la Baronia,Alfara de la Baronia,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alfara del Patriarca,57,46025,Alfara del Patriarca,Alfara del Patriarca,Alfara del Patriarca,Alfara del Patriarca,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alfarp,56,46026,Alfarb,Alfarb,Alfarb,Alfarb,alias,alias_file,El 112CV publica Alfarp y el ICV publica Alfarb en todas sus variantes; se fija la diferencia ortográfica final p/b.,reviewed,alias,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
Alfarrasí,58,46027,Alfarrasí,Alfarrasí,Alfarrasí,Alfarrasí,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alfauir,58,46023,Alfauir,Alfauir,Alfauir,Alfauir,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alfondeguilla,54,12007,Alfondeguilla,Alfondeguilla,Alfondeguilla,Alfondeguilla,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Alfàs del Pi, l'",58,03011,l'Alfàs del Pi,l'Alfàs del Pi,l'Alfàs del Pi,l'Alfàs del Pi,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Algar de Palancia,56,46028,Algar de Palància,Algar de Palància,Algar de Palància,Algar de Palància,alias,alias_file,La única diferencia es el acento de Palància en la denominación ICV; no se elimina el acento automáticamente.,reviewed,alias,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
Algemesí,57,46029,Algemesí,Algemesí,Algemesí,Algemesí,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Algimia de Almonacid,54,12008,Algimia de Almonacid,Algimia de Almonacid,Algimia de Almonacid,Algimia de Almonacid,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alginet,57,46031,Alginet,Alginet,Alginet,Alginet,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Algorfa,59,03012,Algorfa,Algorfa,Algorfa,Algorfa,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Algueña,59,03013,Algueña,Algueña,Algueña,Algueña,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Algímia d'Alfara,56,46030,Algímia d'Alfara,Algímia d'Alfara,Algímia d'Alfara,Algímia d'Alfara,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almassora,55,12009,Almassora,Almassora,Almassora,Almassora,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almedíjar,54,12010,Almedíjar,Almedíjar,Almedíjar,Almedíjar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almenara,55,12011,Almenara,Almenara,Almenara,Almenara,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almiserà,58,46033,Almiserà,Almiserà,Almiserà,Almiserà,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almoines,58,46034,Almoines,Almoines,Almoines,Almoines,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almoradí,59,03015,Almoradí,Almoradí,Almoradí,Almoradí,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almudaina,58,03016,Almudaina,Almudaina,Almudaina,Almudaina,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almussafes,57,46035,Almussafes,Almussafes,Almussafes,Almussafes,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Almàssera,57,46032,Almàssera,Almàssera,Almàssera,Almàssera,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alpuente,56,46036,Alpuente,Alpuente,Alpuente,Alpuente,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Alqueria d'Asnar, l'",58,03017,l'Alqueria d'Asnar,l'Alqueria d'Asnar,l'Alqueria d'Asnar,l'Alqueria d'Asnar,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Alqueria de la Comtessa, l'",58,46037,l'Alqueria de la Comtessa,l'Alqueria de la Comtessa,l'Alqueria de la Comtessa,l'Alqueria de la Comtessa,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Alqueries, les/Alquerías del Niño Perdido",55,12901,les Alqueries,Alquerías del Niño Perdido,les Alqueries,les Alqueries/Alquerías del Niño Perdido,alias,alias_file,El 112CV pospone el artículo valenciano; el ICV lo antepone en la forma bilingüe.,reviewed,bilingual;postposed_article;alias,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
Altea,58,03018,Altea,Altea,Altea,Altea,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Altura,56,12012,Altura,Altura,Altura,Altura,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alzira,58,46017,Alzira,Alzira,Alzira,Alzira,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Andilla,56,46038,Andilla,Andilla,Andilla,Andilla,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Anna,56,46039,Anna,Anna,Anna,Anna,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Antella,56,46040,Antella,Antella,Antella,Antella,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aras de los Olmos,56,46041,Aras de los Olmos,Aras de los Olmos,Aras de los Olmos,Aras de los Olmos,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Arañuel,54,12013,Arañuel,Arañuel,Arañuel,Arañuel,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Ares del Maestrat,53,12014,Ares del Maestrat,Ares del Maestrat,Ares del Maestrat,Ares del Maestrat,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Argelita,54,12015,Argelita,Argelita,Argelita,Argelita,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Artana,54,12016,Artana,Artana,Artana,Artana,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aspe,59,03019,Aspe,Aspe,Aspe,Aspe,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Atzeneta d'Albaida,58,46003,Atzeneta d'Albaida,Atzeneta d'Albaida,Atzeneta d'Albaida,Atzeneta d'Albaida,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Atzeneta del Maestrat,54,12001,Atzeneta del Maestrat,Atzeneta del Maestrat,Atzeneta del Maestrat,Atzeneta del Maestrat,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Atzúbia, l'",58,03001,l'Atzúbia,l'Atzúbia,l'Atzúbia,l'Atzúbia,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Ayora,56,46044,Ayora,Ayora,Ayora,Ayora,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Ayódar,54,12017,Ayódar,Ayódar,Ayódar,Ayódar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Azuébar,54,12018,Azuébar,Azuébar,Azuébar,Azuébar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aín,54,12002,Aín,Aín,Aín,Aín,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Balones,58,03020,Balones,Balones,Balones,Balones,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Banyeres de Mariola,58,03021,Banyeres de Mariola,Banyeres de Mariola,Banyeres de Mariola,Banyeres de Mariola,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Barracas,54,12020,Barracas,Barracas,Barracas,Barracas,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Barx,58,46046,Barx,Barx,Barx,Barx,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Barxeta,58,46045,Barxeta,Barxeta,Barxeta,Barxeta,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Bejís,54,12022,Bejís,Bejís,Bejís,Bejís,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Bellreguard,58,46048,Bellreguard,Bellreguard,Bellreguard,Bellreguard,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Bellús,58,46049,Bellús,Bellús,Bellús,Bellús,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benafer,54,12024,Benafer,Benafer,Benafer,Benafer,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benafigos,54,12025,Benafigos,Benafigos,Benafigos,Benafigos,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benaguasil,56,46051,Benaguasil,Benaguasil,Benaguasil,Benaguasil,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benagéber,56,46050,Benagéber,Benagéber,Benagéber,Benagéber,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benasau,58,03022,Benasau,Benasau,Benasau,Benasau,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benassal,53,12026,Benassal,Benassal,Benassal,Benassal,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benavites,57,46052,Benavites,Benavites,Benavites,Benavites,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beneixama,58,03023,Beneixama,Beneixama,Beneixama,Beneixama,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beneixida,56,46053,Beneixida,Beneixida,Beneixida,Beneixida,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benejúzar,59,03024,Benejúzar,Benejúzar,Benejúzar,Benejúzar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benetússer,57,46054,Benetússer,Benetússer,Benetússer,Benetússer,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benferri,59,03025,Benferri,Benferri,Benferri,Benferri,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beniarbeig,58,03026,Beniarbeig,Beniarbeig,Beniarbeig,Beniarbeig,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beniardà,58,03027,Beniardà,Beniardà,Beniardà,Beniardà,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beniarjó,58,46055,Beniarjó,Beniarjó,Beniarjó,Beniarjó,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beniarrés,58,03028,Beniarrés,Beniarrés,Beniarrés,Beniarrés,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beniatjar,58,46056,Beniatjar,Beniatjar,Beniatjar,Beniatjar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benicarló,55,12027,Benicarló,Benicarló,Benicarló,Benicarló,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benicolet,58,46057,Benicolet,Benicolet,Benicolet,Benicolet,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benicull de Xúquer,57,46904,Benicull de Xúquer,Benicull de Xúquer,Benicull de Xúquer,Benicull de Xúquer,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benicàssim/Benicasim,55,12028,Benicàssim,Benicasim,Benicàssim,Benicàssim/Benicasim,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Benidoleig,58,03030,Benidoleig,Benidoleig,Benidoleig,Benidoleig,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benidorm,58,03031,Benidorm,Benidorm,Benidorm,Benidorm,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benifairó de la Valldigna,58,46059,Benifairó de la Valldigna,Benifairó de la Valldigna,Benifairó de la Valldigna,Benifairó de la Valldigna,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benifairó de les Valls,57,46058,Benifairó de les Valls,Benifairó de les Valls,Benifairó de les Valls,Benifairó de les Valls,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benifaió,57,46060,Benifaió,Benifaió,Benifaió,Benifaió,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benifallim,58,03032,Benifallim,Benifallim,Benifallim,Benifallim,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benifato,58,03033,Benifato,Benifato,Benifato,Benifato,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beniflá,58,46061,Beniflá,Beniflá,Beniflá,Beniflá,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benigembla,58,03029,Benigembla,Benigembla,Benigembla,Benigembla,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benigànim,58,46062,Benigànim,Benigànim,Benigànim,Benigànim,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benijófar,59,03034,Benijófar,Benijófar,Benijófar,Benijófar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benilloba,58,03035,Benilloba,Benilloba,Benilloba,Benilloba,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benillup,58,03036,Benillup,Benillup,Benillup,Benillup,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benimantell,58,03037,Benimantell,Benimantell,Benimantell,Benimantell,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benimarfull,58,03038,Benimarfull,Benimarfull,Benimarfull,Benimarfull,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benimassot,58,03039,Benimassot,Benimassot,Benimassot,Benimassot,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benimeli,58,03040,Benimeli,Benimeli,Benimeli,Benimeli,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benimodo,56,46063,Benimodo,Benimodo,Benimodo,Benimodo,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benimuslem,56,46064,Benimuslem,Benimuslem,Benimuslem,Benimuslem,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Beniparrell,57,46065,Beniparrell,Beniparrell,Beniparrell,Beniparrell,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benirredrà,58,46066,Benirredrà,Benirredrà,Benirredrà,Benirredrà,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Benissa,58,03041,Benissa,Benissa,Benissa,Benissa,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
